YYYY-MM-DD	HHMM (LST)	Time	Value		ETR (Whm^2)
2142010	2200	1077	0		
2142010	2300	1078	0		
2142010	240000	1079	0		
2152010	100	1080	0		
2152010	200	1081	0		
2152010	300	1082	0		
2152010	400	1083	0		
2152010	500	1084	0		
2152010	600	1085	0		
2152010	700	1086	2		
2152010	800	1087	155		
2152010	900	1088	397		
2152010	1000	1089	600		
2152010	1100	1090	750		
2152010	1200	1091	836		
2152010	1300	1092	851		
2152010	1400	1093	795		
2152010	1500	1094	672		
2152010	1600	1095	490		
2152010	1700	1096	263		
2152010	1800	1097	38		
2152010	1900	1098	0		
2152010	2000	1099	0		
2152010	2100	1100	0		
2152010	2200	1101	0		
2152010	2300	1102	0		
2152010	240000	1103	0		
2162010	100	1104	0		
2162010	200	1105	0		
2162010	300	1106	0		
2162010	400	1107	0		
2162010	500	1108	0		
2162010	600	1109	0		
2162010	700	1110	2		
2162010	800	1111	161		
2162010	900	1112	403		
2162010	1000	1113	607		
2162010	1100	1114	756		
2162010	1200	1115	842		
2162010	1300	1116	857		
2162010	1400	1117	801		
2162010	1500	1118	678		
2162010	1600	1119	496		
2162010	1700	1120	268		
2162010	1800	1121	40		
2162010	1900	1122	0		
2162010	2000	1123	0		
2162010	2100	1124	0		
2162010	2200	1125	0		
2162010	2300	1126	0		
2162010	240000	1127	0		
2172010	100	1128	0		
2172010	200	1129	0		
2172010	300	1130	0		
2172010	400	1131	0		
2172010	500	1132	0		
2172010	600	1133	0		
2172010	700	1134	3		
2172010	800	1135	167		
2172010	900	1136	409		
2172010	1000	1137	613		
2172010	1100	1138	763		
2172010	1200	1139	848		
2172010	1300	1140	864		
2172010	1400	1141	808		
2172010	1500	1142	684		
2172010	1600	1143	502		
2172010	1700	1144	274		
2172010	1800	1145	43		
2172010	1900	1146	0		
2172010	2000	1147	0		
2172010	2100	1148	0		
2172010	2200	1149	0		
2172010	2300	1150	0		
2172010	240000	1151	0		
2182010	100	1152	0		
2182010	200	1153	0		
2182010	300	1154	0		
2182010	400	1155	0		
2182010	500	1156	0		
2182010	600	1157	0		
2182010	700	1158	4		
2182010	800	1159	173		
2182010	900	1160	415		
2182010	1000	1161	619		
2182010	1100	1162	769		
2182010	1200	1163	855		
2182010	1300	1164	870		
2182010	1400	1165	814		
2182010	1500	1166	690		
2182010	1600	1167	508		
2182010	1700	1168	279		
2182010	1800	1169	46		
2182010	1900	1170	0		
2182010	2000	1171	0		
2182010	2100	1172	0		
2182010	2200	1173	0		
2182010	2300	1174	0		
2182010	240000	1175	0		
2192010	100	1176	0		
2192010	200	1177	0		
2192010	300	1178	0		
2192010	400	1179	0		
2192010	500	1180	0		
2192010	600	1181	0		
2192010	700	1182	5		
2192010	800	1183	179		
2192010	900	1184	422		
2192010	1000	1185	626		
2192010	1100	1186	776		
2192010	1200	1187	861		
2192010	1300	1188	876		
2192010	1400	1189	820		
2192010	1500	1190	696		
2192010	1600	1191	513		
2192010	1700	1192	285		
2192010	1800	1193	49		
2192010	1900	1194	0		
2192010	2000	1195	0		
2192010	2100	1196	0		
2192010	2200	1197	0		
2192010	2300	1198	0		
2192010	240000	1199	0		
2202010	100	1200	0		
2202010	200	1201	0		
2202010	300	1202	0		
2202010	400	1203	0		
2202010	500	1204	0		
2202010	600	1205	0		
2202010	700	1206	6		
2202010	800	1207	185		
2202010	900	1208	428		
2202010	1000	1209	632		
2202010	1100	1210	782		
2202010	1200	1211	868		
2202010	1300	1212	883		
